,nome,cpf,idade,data,endereco,estado,pais
0,Bella da Mata,632.079.514-06,27,12/02/1998,"Praça de Peixoto, 28",Alagoas,Brasil
1,Isabela da Costa,859.602.714-94,44,04/10/1981,Recanto de Rodrigues,Paraná,Brasil
2,Dra. Lívia da Cruz,783.201.945-04,22,30/01/2003,"Vereda Yago Porto, 25",Tocantins,Brasil
3,Sara Marques,029.681.345-15,48,01/06/1977,"Praia de Fogaça, 16",Bahia,Brasil
4,Thiago Vasconcelos,053.461.928-24,55,20/09/1970,"Loteamento de Borges, 37",Paraíba,Brasil
5,João Miguel da Costa,917.026.583-68,31,24/11/1993,"Aeroporto Ana Leão, 3",Mato Grosso do Sul,Brasil
6,Giovanna Cirino,762.905.431-99,18,30/07/2007,Pátio Martins,Rondônia,Brasil
7,Rhavi Gomes,514.690.237-25,47,05/09/1978,"Campo de Cassiano, 50",Maranhão,Brasil
8,João Vitor Porto,239.687.145-55,45,06/11/1979,"Largo Antony Nunes, 44",Goiás,Brasil
9,Dra. Olivia Moreira,463.759.810-93,30,10/02/1995,"Jardim Ferreira, 99",Acre,Brasil
